,ExideCP,ExideStd,ADSP,Exideup,Exidelw
0,233.35357142857143,7.576696669234055,229.09,248.50696476703953,218.20017809010332
1,232.02499999999995,6.819224803676503,228.52,245.66344960735296,218.38655039264694
2,230.78928571428568,5.843345280396659,227.9,242.475976275079,219.10259515349236
3,229.41428571428568,4.884529288849255,225.7,239.18334429198418,219.64522713658718
4,228.25,4.082514308232488,223.95,236.41502861646498,220.08497138353502
5,227.2607142857143,3.045310301950325,225.55,233.35133488961495,221.17009368181365
6,226.70357142857142,3.061451659545879,223.85,232.82647474766318,220.58066810947966
7,226.50714285714284,3.1250758232559526,223.76,232.75729450365475,220.25699121063093
8,226.9,2.8705400188814596,227.9,232.64108003776292,221.1589199622371
9,226.775,2.8664337263736415,227.2,232.5078674527473,221.04213254725272
10,225.8892857142857,2.579965605870059,222.15,231.04921692602582,220.7293545025456
11,225.42499999999998,2.667089309456158,221.87,230.7591786189123,220.09082138108766
12,225.34285714285713,2.620544360863347,224.48,230.58394586458382,220.10176842113043
13,224.98571428571427,2.2086742082619852,226.46,229.40306270223823,220.5683658691903
14,224.78571428571425,2.0293451550295014,226.02,228.84440459577326,220.72702397565524
15,224.20357142857142,2.415691037118197,222.53,229.0349535028078,219.37218935433503
16,223.41785714285714,3.011491270173247,215.86,229.44083968320365,217.39487460251064
17,222.61785714285716,4.136684251113038,213.73,230.89122564508324,214.34448864063108
18,222.1357142857143,4.404387173447225,213.8,230.94448863260874,213.32693993881986
19,221.68571428571428,4.487308109093261,218.68,230.6603305039008,212.71109806752776
20,221.50714285714284,4.480721831565559,219.0,230.46858652027396,212.54569919401172
21,221.45,4.447341470344528,222.11,230.34468294068904,212.55531705931094
22,221.34999999999997,4.310853922190083,225.31,229.97170784438012,212.7282921556198
23,221.51071428571427,4.535635761196199,228.14,230.58198580810668,212.43944276332186
24,222.04642857142855,4.8931452951165175,228.58,231.83271916166157,212.26013798119553
25,222.6178571428571,5.32875390047881,229.64,233.27536494381474,211.96034934189947
26,222.84285714285713,5.553407032653887,230.18,233.9496712081649,211.73604307754937
27,222.7642857142857,5.524436225027454,226.73,233.81315816434062,211.7154132642308
28,222.84285714285713,5.570142145087814,226.29,233.98314143303276,211.7025728526815
29,223.36428571428567,5.529307529722112,226.59,234.4229007737299,212.30567065484144
30,223.82142857142853,5.1615708061415795,223.69,234.1445701837117,213.49828695914536
31,224.44642857142853,4.148098001851793,222.39,232.7426245751321,216.15023256772494
32,224.76071428571422,3.6624486644566128,222.43,232.08561161462745,217.43581695680098
33,224.77857142857138,3.627391215869449,218.65,232.03335386031029,217.52378899683248
34,224.61071428571424,3.8857817039238394,218.89,232.38227769356192,216.83915087786656
35,224.12142857142854,4.429608173577929,216.47,232.9806449185844,215.26221222427267
36,223.3392857142857,4.959845630795238,215.85,233.25897697587618,213.4195944526952
37,222.51071428571422,5.035725391617402,216.35,232.58216506894902,212.4392635024794
38,221.71071428571423,4.907614906034723,218.33,231.52594409778368,211.89548447364479
39,220.63571428571427,4.602859837244545,219.48,229.84143396020337,211.42999461122517
40,219.7142857142857,3.972183500071727,215.31,227.65865271442914,211.76991871414225
41,219.23928571428567,3.794590206486758,217.33,226.8284661272592,211.65010530131215
42,219.05714285714285,3.4747361351319377,221.7,226.00661512740672,212.10767058687898
43,218.7428571428571,2.9188944919173627,222.17,224.58064612669182,212.9050681590224
44,218.69642857142853,2.853841155470957,222.91,224.40411088237045,212.9887462604866
45,218.28928571428568,2.8295948725670392,216.83,223.94847545941977,212.6300959691516
46,217.89642857142854,2.7756817794300432,216.73,223.44779213028863,212.34506501256845
47,217.61071428571427,2.9376323912182585,214.95,223.48597906815078,211.73544950327775
48,216.8285714285714,4.035549447183135,210.51,224.89967032293765,208.75747253420514
49,215.63571428571422,6.055176697270346,203.41,227.7460676802549,203.52536089117353
50,214.75714285714278,6.935911485296602,202.74,228.62896582773598,200.88531988654958
51,214.13214285714278,7.1386436748506235,207.68,228.40943020684404,199.85485550744153
52,213.3964285714285,7.321030409972197,207.47,228.03848939137288,198.7543677514841
53,213.2821428571428,7.308230532521874,211.22,227.89860392218654,198.66568179209904
54,212.74642857142848,7.332998764429354,210.32,227.41242610028718,198.08043104256978
55,211.59285714285707,7.78410256530929,204.28,227.16106227347564,196.0246520122385
56,209.68928571428563,7.827716500001636,197.81,225.34471871428892,194.03385271428235
57,208.03928571428563,7.470974052739443,199.04,222.9812338197645,193.09733760880675
58,206.63928571428565,6.380142829708087,200.71,219.39957137370183,193.87900005486946
59,205.51428571428565,6.018958144302083,200.29,217.55220200288983,193.47636942568147
60,204.07499999999996,5.8011852237282975,197.61,215.67737044745655,192.47262955254337
61,202.79999999999995,5.335764670165683,196.56,213.47152934033133,192.12847065966858
62,202.06071428571425,5.395909368409714,197.71,212.8525330225337,191.26889554889482
63,202.3678571428571,5.38889910060369,204.25,213.1456553440645,191.59005894164972
64,202.40714285714284,5.395862273106442,203.38,213.19886740335573,191.61541831092995
65,202.16785714285714,5.2019451666167456,205.0,212.57174747609065,191.76396680962364
66,202.22857142857146,5.266611605406422,206.45,212.7617946393843,191.6953482177586
67,201.82142857142858,4.510999986602165,208.65,210.8434285446329,192.79942859822427
68,202.58571428571432,6.345211052179995,215.3,215.2761363900743,189.89529218135434
69,204.03928571428574,8.122385462682711,221.93,220.28405663965117,187.7945147889203
70,206.10357142857146,9.746803505325852,224.37,225.59717843922317,186.60996441791974
71,207.46071428571432,9.979135513880909,221.91,227.41898531347613,187.5024432579525
72,208.7392857142857,10.437730717329131,220.27,229.61474714894396,187.86382427962744
73,210.0142857142857,10.384741553975271,218.14,230.78376882223625,189.24480260633516
74,212.0785714285714,10.158261402684916,224.28,232.39509423394122,191.76204862320157
75,214.17142857142852,9.686940341863183,224.94,233.54530925515488,194.79754788770217
76,215.97499999999994,8.490577356467384,223.88,232.9561547129347,198.99384528706517
77,216.92857142857136,7.793506031545684,219.08,232.51558349166274,201.34155936547998
78,217.3499999999999,7.147134982742467,212.22,231.64426996548485,203.05573003451497
79,217.62142857142848,6.682748003562872,207.3,230.98692457855424,204.25593256430273
80,217.4642857142856,6.9519070037662125,206.25,231.36809972181803,203.5604717067532
81,217.14285714285705,7.523600231243233,206.22,232.19005760534353,202.09565668037058
82,215.9642857142856,8.347856209632877,202.43,232.65999813355137,199.26857329501985
83,214.8392857142856,8.57364428779439,206.46,231.9865742898744,197.69199713869682
84,213.5142857142856,8.129727703156835,209.2,229.77374112059925,197.25483030797193
85,212.65357142857133,8.27202106003036,205.98,229.19761354863203,196.10952930851062
86,211.48928571428564,8.23730208286664,204.88,227.9638898800189,195.01468154855237
87,210.5999999999999,8.163686007605437,206.01,226.92737201521078,194.27262798478904
88,209.0964285714285,7.3104894155254225,203.97,223.71740740247935,194.47544974037766
89,207.86428571428564,5.534834740477763,206.91,218.93395519524117,196.79461623333012
90,206.53928571428565,3.8192416973610483,206.9,214.17776910900776,198.90080231956355
91,205.7142857142857,2.112183391972159,204.9,209.93865249823,201.4899189303414
92,205.3928571428571,1.8224937630861482,205.58,209.0378446690294,201.74786961668482
93,205.1428571428571,1.6053824302194046,204.74,208.35362200329592,201.9320922824183
94,205.35714285714283,1.8523225693985574,206.85,209.06178799593994,201.65249771834573
95,205.7571428571428,1.9304101938416653,208.45,209.61796324482614,201.89632246945948
96,206.04999999999995,1.8118201642813643,208.09,209.67364032856267,202.42635967143724
97,206.05714285714285,1.8115927058454315,206.03,209.6803282688337,202.433957445452
98,206.04285714285714,1.8000915727634295,206.39,209.64304028838401,202.44267399733027
99,206.27142857142854,1.9627016589899713,208.98,210.1968318894085,202.3460252534486
100,206.46071428571426,1.8678637089383603,205.39,210.19644170359098,202.72498686783754
101,206.29285714285714,2.0612596170292066,204.19,210.41537637691556,202.17033790879873
102,206.375,1.9574070367954806,204.18,210.28981407359097,202.46018592640903
103,206.39642857142857,1.9833406439374615,207.43,210.3631098593035,202.42974728355364
104,206.99285714285716,2.2928699804517465,212.25,211.57859710376064,202.40711718195368
105,207.18571428571428,2.320844389726007,209.3,211.8274030651663,202.54402550626227
106,207.17857142857142,2.3283961371365853,205.46,211.83536370284457,202.52177915429826
107,207.04642857142858,2.5128488495457444,203.85,212.07212627052007,202.02073087233708
108,206.5,2.9438331892547827,201.92,212.38766637850958,200.61233362149042
109,205.7464285714286,3.611864225966618,199.07,212.97015702336182,198.52270011949537
110,205.39285714285717,3.6946873055400244,200.44,212.78223175393722,198.0034825317771
111,205.02142857142857,3.8802614050387083,201.78,212.781951381506,197.26090576135115
112,204.60714285714286,3.9276072742960655,201.32,212.462357405735,196.75192830855073
113,203.92857142857142,3.9309283639113053,199.52,211.79042815639403,196.0667147007488
114,203.15714285714284,4.360348307491288,197.7,211.87783947212543,194.43644624216026
115,202.76785714285714,4.602407695262496,196.79,211.97267253338214,193.56304175233214
116,202.51071428571427,4.59574127993437,200.73,211.70219684558302,193.31923172584553
117,201.97499999999997,4.235506962663885,201.57,210.44601392532775,193.50398607467218
118,201.36071428571427,3.1766079254596544,203.68,207.71393013663356,195.00749843479497
119,200.92142857142855,2.4085356455841023,202.54,205.73849986259677,196.10435728026033
120,200.94642857142853,2.4538403406879756,204.57,205.85410925280448,196.03874789005258
121,201.19999999999996,2.8408422369765276,206.31,206.88168447395302,195.5183155260469
122,201.58571428571423,3.153656520700142,206.43,207.8930273271145,195.27840124431395
123,202.24285714285708,3.335926646887108,206.78,208.91471043663128,195.57100384908287
124,202.54642857142852,3.529298485847095,208.63,209.6050255431227,195.48783159973433
125,202.84642857142853,3.552434933401128,205.1,209.9512984382308,195.74155870462627
126,203.08571428571423,3.5675583425470685,206.66,210.22083097080838,195.95059760062009
127,203.3928571428571,3.4170307141001044,203.81,210.22691857105733,196.5587957146569
128,203.86071428571427,2.7001551644474735,202.96,209.26102461460923,198.4604039568193
129,204.2035714285714,2.0857081702464897,203.37,208.37498776906438,200.0321550880784
130,204.2785714285714,1.975690170131951,202.13,208.22995176883532,200.3271910883075
131,204.64642857142854,1.8434357852959786,205.28,208.3333001420205,200.95955700083658
132,204.7535714285714,1.8022917340180473,205.5,208.3581548966075,201.14898796053532
133,204.8785714285714,1.6991756242961056,205.09,208.2769226771636,201.4802201799792
134,204.83214285714286,1.6985975145654084,205.34,208.22933788627367,201.43494782801204
135,204.65714285714287,1.627156219495119,204.7,207.9114552961331,201.40283041815263
136,204.5464285714286,1.5542082186172796,204.78,207.65484500866316,201.43801213419405
137,204.56428571428575,1.5899236279964675,206.57,207.74413297027868,201.3844384582928
138,205.1178571428572,3.0307784696134323,211.7,211.17941408208407,199.05630020363031
139,205.83214285714288,4.02791256984729,216.82,213.88796799683746,197.7763177174483
140,207.00000000000003,5.731324185830093,220.6,218.4626483716602,195.53735162833985
141,208.17857142857147,6.646158933657277,220.58,221.47088929588602,194.88625356125692
142,209.475,7.210055745010411,221.23,223.8951114900208,195.05488850997918
143,210.65714285714287,7.325478643927717,220.0,225.30810014499832,196.00618556928742
144,211.8714285714286,7.187749040119572,219.38,226.24692665166774,197.49593049118945
145,213.08214285714286,7.610357495465936,222.37,228.30285784807472,197.861427866211
146,214.15,7.404935983726002,221.58,228.95987196745202,199.340128032548
147,215.3892857142857,7.083517666207635,220.22,229.556321046701,201.22225038187042
148,216.73214285714283,6.638628424805848,224.02,230.00939970675452,203.45488600753114
149,218.01428571428568,5.686807559587603,222.46,229.3879008334609,206.64067059511046
150,219.6071428571428,4.746085720921167,224.8,229.09931429898515,210.11497141530046
151,220.89999999999992,3.534228236938175,226.31,227.96845647387627,213.83154352612357
152,221.6714285714285,3.1394336998964727,225.84,227.95029597122144,215.39256117163555
153,222.26785714285705,2.515995531888942,224.12,227.29984820663495,217.23586607907916
154,222.45357142857137,2.527043292505962,224.27,227.5076580135833,217.39948484355943
155,222.73214285714275,2.486007545540649,224.2,227.70415794822404,217.76012776606146
156,223.5464285714285,3.44949630022646,228.63,230.4454211718814,216.64743597097558
157,224.2107142857142,3.4017630367565146,230.18,231.01424035922724,217.40718821220116
158,224.74642857142848,3.0947514058058543,226.31,230.93593138304018,218.55692575981678
159,224.66785714285706,3.1464636524969705,224.95,230.960784447851,218.3749298378631
160,224.7714285714285,2.9922151741398375,221.51,230.75585891970817,218.7869982231488
161,224.9071428571428,2.8832978676174976,223.54,230.6737385923778,219.1405471219078
162,224.8464285714285,2.927223959640113,222.55,230.70087649070874,218.99198065214827
163,225.59999999999994,3.4729171954071663,228.05,232.54583439081426,218.6541656091856
164,225.59999999999994,3.4729171954071663,232.16,232.54583439081426,218.6541656091856
165,225.54642857142852,3.4770381010343985,228.57,232.5005047734973,218.59235236935973
166,225.5714285714285,3.4748389163393503,224.99,232.5211064041072,218.6217507387498
167,225.56785714285706,3.4772672262335984,224.71,232.52239159532425,218.61332269038988
168,225.27857142857133,3.790053494939948,219.31,232.85867841845123,217.69846443869142
169,224.38928571428565,5.244234144109417,212.47,234.87775400250447,213.90081742606682
170,222.44285714285706,6.943809006336895,204.89,236.33047515553085,208.55523913018328
171,220.6607142857142,8.378456314845991,201.19,237.41762691540617,203.9038016560222
172,219.06785714285704,9.256673416906068,204.16,237.58120397666917,200.5545103090449
173,218.18214285714274,9.518314474714701,208.2,237.21877180657214,199.14551390771334
174,217.25714285714275,9.826726842624838,209.75,236.91059654239243,197.60368917189308
175,216.50357142857135,9.706688104397255,212.88,235.91694763736587,197.09019521977683
176,215.78928571428563,9.598821613803942,213.38,234.9869289418935,196.59164248667776
177,214.47857142857134,8.28190135837741,214.58,231.04237414532616,197.91476871181652
178,213.3607142857142,7.462964418519729,212.32,228.28664312275367,198.43478544867475
179,212.27857142857138,6.714041379702352,209.91,225.70665418797608,198.85048866916668
180,211.24285714285708,5.542002454780686,211.29,222.32686205241845,200.1588522332957
181,210.36071428571424,4.31331474227631,211.09,218.98734377026685,201.73408480116163
182,209.4321428571428,3.449281259740274,207.65,216.33070537662334,202.53358033766224
183,209.31071428571425,3.3908348513331137,209.88,216.09238398838048,202.52904458304803
184,209.73571428571427,3.153290623816005,211.27,216.04229553334628,203.42913303808226
185,210.14642857142854,2.5799123632793965,209.17,215.30625329798733,204.98660384486976
186,210.375,2.1118484429896687,206.63,214.59869688597934,206.15130311402066
187,210.35714285714286,2.117678077415093,209.47,214.59249901197305,206.12178670231268
188,210.2607142857143,2.247749179430488,206.49,214.75621264457527,205.76521592685333
189,209.90714285714284,2.1629624576979487,209.1,214.23306777253873,205.58121794174696
190,209.3892857142857,2.3538984498257776,206.14,214.09708261393726,204.68148881463415
191,209.02142857142854,1.8826857131528487,206.85,212.78679999773425,205.25605714512284
192,208.91785714285714,1.775648001204126,210.46,212.4691531452654,205.36656114044888
193,209.1535714285714,2.0925200381106057,213.07,213.33861150479262,204.9685313523502
194,209.40714285714284,2.501988220385797,214.53,214.41111929791444,204.40316641637125
195,209.66428571428568,2.8403973565086442,214.45,215.34508042730297,203.9834910012684
196,210.43571428571428,3.39957172480473,217.35,217.23485773532374,203.63657083610482
197,210.69285714285712,3.502738332245166,216.44,217.69833380734747,203.68738047836678
198,210.64999999999995,3.5049964336649237,211.18,217.6599928673298,203.6400071326701
199,210.8785714285714,3.500478774161529,212.47,217.87952897689445,203.87761388024836
200,211.55714285714285,3.6899477348219807,216.5,218.93703832678682,204.17724738749888
201,212.1142857142857,3.9513108132442056,217.24,220.0169073407741,204.2116640877973
202,212.7785714285714,3.7855349325132392,215.71,220.3496412935979,205.20750156354492
203,213.81785714285712,4.356498556218367,220.68,222.53085425529386,205.10486003042038
204,214.9392857142857,3.986331385132288,222.34,222.91194848455027,206.9666229440211
205,215.91785714285712,4.1346382570287865,220.01,224.18713365691468,207.64858062879955
206,217.26071428571427,5.022418149252031,227.55,227.30555058421834,207.2158779872102
207,218.6785714285714,6.376752075545103,232.17,231.43207557966159,205.9250672774812
208,219.85357142857137,7.0297024853807635,233.52,233.9129763993329,205.79416645780984
209,221.3928571428571,8.072838056452968,237.48,237.53853325576304,205.24718102995118
210,222.92499999999995,9.238709325441548,237.96,241.40241865088305,204.44758134911686
211,224.68571428571425,9.673763657269253,238.68,244.03324160025275,205.33818697117576
212,226.5071428571428,9.121379305760724,234.87,244.74990146866426,208.26438424562136
213,228.5678571428571,8.921508305189175,239.23,246.41087375323545,210.72484053247874
214,230.02142857142852,8.523152050686377,239.24,247.06773267280127,212.97512447005576
215,231.66785714285706,8.113986195330877,240.25,247.89582953351882,215.4398847521953
216,233.62499999999994,7.366106110474279,241.93,248.3572122209485,218.8927877790514
217,235.02857142857138,6.975774406574901,241.99,248.98012024172118,221.07702261542158
218,236.5892857142857,5.952930066246587,243.81,248.49514584677888,224.6834255817925
219,238.10357142857143,4.767496693787041,243.5,247.6385648161455,228.56857804099735
220,239.11071428571427,4.092449829184345,242.69,247.29561394408296,230.92581462734557
221,239.96071428571426,3.9476954607143284,244.45,247.85610520714292,232.0653233642856
222,240.7357142857143,2.992003996000455,246.11,246.7197222777152,234.7517062937134
223,241.31785714285715,2.8190019471466425,243.09,246.95586103715044,235.67985324856386
224,241.6321428571429,2.785788601430954,244.59,247.2037200600048,236.060565654281
225,242.33928571428572,3.1122696746051433,248.37,248.563825063496,236.11474636507543
226,243.23928571428573,2.855910104934408,249.16,248.95110592415455,237.5274655044169
227,243.76785714285717,3.112728653500561,250.14,249.9933144498583,237.54239983585603
228,244.54285714285717,2.6866376715172087,248.16,249.91613248589158,239.16958179982277
229,245.12500000000003,2.613555638764226,248.73,250.35211127752848,239.89788872247158
230,246.46071428571435,5.236527716671158,258.23,256.93376971905667,235.98765885237202
231,248.2571428571429,7.5168236218917235,265.25,263.29079010092636,233.22349561335946
232,249.58928571428572,8.104893549611925,263.48,265.79907281350955,233.37949861506186
233,250.70357142857142,8.35331496348078,260.06,267.410201355533,233.99694150160985
234,252.0285714285714,8.4903726992058,261.36,269.009316826983,235.0478260301598
235,253.02142857142854,8.398573923948888,260.1,269.8185764193263,236.22428072353077
236,254.10357142857137,7.7958930086416505,258.13,269.69535744585465,238.51178541128806
237,254.88214285714278,7.267911750205898,254.79,269.4179663575546,240.346319356731
238,255.9499999999999,6.509844615892635,259.24,268.9696892317852,242.93031076821464
239,256.3821428571428,6.146468878170533,256.45,268.6750806134839,244.08920510080173
